Model,Rank,Program,Time,Space,Value,Requested_rank
PCA,10,PC1,1h,st,0.0014188885755935,8
PCA,10,PC1,1h,SI1,0.6352595715396835,8
PCA,10,PC1,1h,SI2,-0.1499479198212338,8
PCA,10,PC1,1h,SI3,-0.7051152524446802,8
PCA,10,PC1,1h,SI4,-0.8505379156377997,8
PCA,10,PC1,1h,SI5,-0.9249141140593282,8
PCA,10,PC1,1h,SI6,-0.9660468893425526,8
PCA,10,PC1,1h,SI7,-0.8938967439015617,8
PCA,10,PC1,1h,SI8,-0.8633925737000834,8
PCA,10,PC1,1h,SI9,-0.6954921881402194,8
PCA,10,PC1,1h,ce,0.0372157832271869,8
PCA,10,PC1,1h,co,0.1427549978715273,8
PCA,10,PC1,3h,st,0.3583928077866459,8
PCA,10,PC1,3h,SI1,1.413369777184731,8
PCA,10,PC1,3h,SI2,1.3822606098079246,8
PCA,10,PC1,3h,SI3,1.3632421176407474,8
PCA,10,PC1,3h,SI4,1.1358973266459376,8
PCA,10,PC1,3h,SI5,1.1798689824679416,8
PCA,10,PC1,3h,SI6,0.1246091232133697,8
PCA,10,PC1,3h,SI7,0.2425411902491444,8
PCA,10,PC1,3h,SI8,0.0936049503062583,8
PCA,10,PC1,3h,SI9,-0.0530293080862068,8
PCA,10,PC1,3h,ce,-0.7237235816434522,8
PCA,10,PC1,3h,co,-0.810990899794297,8
PCA,10,PC1,6h,st,0.4999326085572768,8
PCA,10,PC1,6h,SI1,1.1169829077599474,8
PCA,10,PC1,6h,SI2,1.4033571210670317,8
PCA,10,PC1,6h,SI3,1.4016330241761226,8
PCA,10,PC1,6h,SI4,1.346742126233821,8
PCA,10,PC1,6h,SI5,0.4867973050942246,8
PCA,10,PC1,6h,SI6,-0.6253955239407365,8
PCA,10,PC1,6h,SI7,-0.7148684485051171,8
PCA,10,PC1,6h,SI8,-0.6393840059842055,8
PCA,10,PC1,6h,SI9,-0.6968989724321479,8
PCA,10,PC1,6h,ce,-0.2507666038030498,8
PCA,10,PC1,6h,co,-0.5137431824669247,8
PCA,10,PC1,12h,st,0.2844938293761437,8
PCA,10,PC1,12h,SI1,1.395599762428187,8
PCA,10,PC1,12h,SI2,1.3432675509484269,8
PCA,10,PC1,12h,SI3,1.113667575046009,8
PCA,10,PC1,12h,SI4,0.4032377791037874,8
PCA,10,PC1,12h,SI5,-0.4295880833868826,8
PCA,10,PC1,12h,SI6,-0.7272644914412737,8
PCA,10,PC1,12h,SI7,-0.8131624449004536,8
PCA,10,PC1,12h,SI8,-0.5837612241026043,8
PCA,10,PC1,12h,SI9,-0.6459003426072047,8
PCA,10,PC1,12h,ce,-0.4568201330949941,8
PCA,10,PC1,12h,co,-0.5374444264777755,8
PCA,10,PC1,24h,st,0.1585200267073536,8
PCA,10,PC1,24h,SI1,0.2625032942592638,8
PCA,10,PC1,24h,SI2,-0.0357143429165126,8
PCA,10,PC1,24h,SI3,-0.1368841281790396,8
PCA,10,PC1,24h,SI4,-0.339045179275614,8
PCA,10,PC1,24h,SI5,-0.4241859336250472,8
PCA,10,PC1,24h,SI6,-0.5146821539828991,8
PCA,10,PC1,24h,SI7,-0.5646686136400146,8
PCA,10,PC1,24h,SI8,-0.5719128770057188,8
PCA,10,PC1,24h,SI9,-0.4858492281659724,8
PCA,10,PC1,24h,ce,-0.532043458564394,8
PCA,10,PC1,24h,co,-0.4500998522042895,8
CP,10,CP1,1h,st,0.0156884299029289,8
CP,10,CP1,1h,SI1,0.0148233990977139,8
CP,10,CP1,1h,SI2,0.0118443733274861,8
CP,10,CP1,1h,SI3,0.0131104591083009,8
CP,10,CP1,1h,SI4,0.0030304884662523,8
CP,10,CP1,1h,SI5,-0.0046123482662561,8
CP,10,CP1,1h,SI6,-0.0114645451724564,8
CP,10,CP1,1h,SI7,-0.0112015155298874,8
CP,10,CP1,1h,SI8,-0.0091623435562882,8
CP,10,CP1,1h,SI9,-0.0084808158263834,8
CP,10,CP1,1h,ce,-0.0067259623253841,8
CP,10,CP1,1h,co,-0.0058949854112486,8
CP,10,CP1,3h,st,0.2646273887940125,8
CP,10,CP1,3h,SI1,0.2500363274432725,8
CP,10,CP1,3h,SI2,0.199787079073409,8
CP,10,CP1,3h,SI3,0.2211430067372539,8
CP,10,CP1,3h,SI4,0.0511173045713782,8
CP,10,CP1,3h,SI5,-0.0777996068096064,8
CP,10,CP1,3h,SI6,-0.19338025994123,8
CP,10,CP1,3h,SI7,-0.1889435605443397,8
CP,10,CP1,3h,SI8,-0.1545474636745867,8
CP,10,CP1,3h,SI9,-0.1430516731671018,8
CP,10,CP1,3h,ce,-0.1134513688307984,8
CP,10,CP1,3h,co,-0.0994347175599952,8
CP,10,CP1,6h,st,0.2576756147839071,8
CP,10,CP1,6h,SI1,0.2434678613044354,8
CP,10,CP1,6h,SI2,0.194538663064065,8
CP,10,CP1,6h,SI3,0.2153335694988838,8
CP,10,CP1,6h,SI4,0.0497744505644463,8
CP,10,CP1,6h,SI5,-0.0757558074618509,8
CP,10,CP1,6h,SI6,-0.1883001513732794,8
CP,10,CP1,6h,SI7,-0.1839800042792271,8
CP,10,CP1,6h,SI8,-0.1504874944998275,8
CP,10,CP1,6h,SI9,-0.1392936989522739,8
CP,10,CP1,6h,ce,-0.1104709960098175,8
CP,10,CP1,6h,co,-0.0968225628303356,8
CP,10,CP1,12h,st,0.1876010990609545,8
CP,10,CP1,12h,SI1,0.1772571238649653,8
CP,10,CP1,12h,SI2,0.1416341512613579,8
CP,10,CP1,12h,SI3,0.1567739125667236,8
CP,10,CP1,12h,SI4,0.0362383597643732,8
CP,10,CP1,12h,SI5,-0.0551541237303797,8
CP,10,CP1,12h,SI6,-0.137092193922176,8
CP,10,CP1,12h,SI7,-0.1339469046652594,8
CP,10,CP1,12h,SI8,-0.1095626351246806,8
CP,10,CP1,12h,SI9,-0.1014129763021111,8
CP,10,CP1,12h,ce,-0.0804285662932448,8
CP,10,CP1,12h,co,-0.0704918050398446,8
CP,10,CP1,24h,st,0.0610546307448886,8
CP,10,CP1,24h,SI1,0.0576881921195999,8
CP,10,CP1,24h,SI2,0.0460947235885768,8
CP,10,CP1,24h,SI3,0.0510219470467108,8
CP,10,CP1,24h,SI4,0.0117937458004729,8
CP,10,CP1,24h,SI5,-0.0179498663668388,8
CP,10,CP1,24h,SI6,-0.0446165471301719,8
CP,10,CP1,24h,SI7,-0.0435929152051557,8
CP,10,CP1,24h,SI8,-0.0356570737829253,8
CP,10,CP1,24h,SI9,-0.0330047737025983,8
CP,10,CP1,24h,ce,-0.0261754139019161,8
CP,10,CP1,24h,co,-0.0229415027352798,8
VAE,10,VAE1,1h,st,-0.0866248235106468,8
VAE,10,VAE1,1h,SI1,0.006779134273529,8
VAE,10,VAE1,1h,SI2,-0.0238719768822193,8
VAE,10,VAE1,1h,SI3,-0.0275807976722717,8
VAE,10,VAE1,1h,SI4,-0.0145439505577087,8
VAE,10,VAE1,1h,SI5,-0.0305772423744201,8
VAE,10,VAE1,1h,SI6,-0.0386187434196472,8
VAE,10,VAE1,1h,SI7,-0.0131158828735351,8
VAE,10,VAE1,1h,SI8,-0.0522310137748718,8
VAE,10,VAE1,1h,SI9,-0.0487549602985382,8
VAE,10,VAE1,1h,ce,-0.0262136459350585,8
VAE,10,VAE1,1h,co,-0.0223386883735656,8
VAE,10,VAE1,3h,st,-0.1137933582067489,8
VAE,10,VAE1,3h,SI1,0.091382086277008,8
VAE,10,VAE1,3h,SI2,0.0152189135551452,8
VAE,10,VAE1,3h,SI3,-0.0359326601028442,8
VAE,10,VAE1,3h,SI4,0.0362125635147094,8
VAE,10,VAE1,3h,SI5,0.0609353780746459,8
VAE,10,VAE1,3h,SI6,0.0389963686466217,8
VAE,10,VAE1,3h,SI7,0.0337461233139038,8
VAE,10,VAE1,3h,SI8,-0.000204399228096,8
VAE,10,VAE1,3h,SI9,-0.0406164601445198,8
VAE,10,VAE1,3h,ce,-0.0207009613513946,8
VAE,10,VAE1,3h,co,-0.0422625839710235,8
VAE,10,VAE1,6h,st,-0.0577945858240127,8
VAE,10,VAE1,6h,SI1,0.0153931379318237,8
VAE,10,VAE1,6h,SI2,0.0040894746780395,8
VAE,10,VAE1,6h,SI3,-0.0015455484390258,8
VAE,10,VAE1,6h,SI4,0.0798786878585815,8
VAE,10,VAE1,6h,SI5,0.0745840966701507,8
VAE,10,VAE1,6h,SI6,0.0298443138599395,8
VAE,10,VAE1,6h,SI7,0.0269343256950378,8
VAE,10,VAE1,6h,SI8,0.00625541806221,8
VAE,10,VAE1,6h,SI9,0.0205958485603332,8
VAE,10,VAE1,6h,ce,0.0667992681264877,8
VAE,10,VAE1,6h,co,0.0277512520551681,8
VAE,10,VAE1,12h,st,-0.0854242891073226,8
VAE,10,VAE1,12h,SI1,0.0065711736679077,8
VAE,10,VAE1,12h,SI2,0.0381177067756652,8
VAE,10,VAE1,12h,SI3,0.0118666887283325,8
VAE,10,VAE1,12h,SI4,0.0406217128038406,8
