VAE_cluster,n_genes,mean_reconstruction_MSE,strongest_defect_time_mode,strongest_defect_space_mode,mean_fitness_mean,min_fitness_mean,dynamic_range_mean
0,256,0.5812239865707372,12h,SI6,-0.630882736563737,-2.920669619140625,6.2015677441406245
1,506,0.3842819458406092,1h,st,1.0576573311144268,-0.6449706269683795,4.927574777166008
2,643,0.4180835056051081,6h,st,0.7399984245557024,-0.8663935878693624,4.887039311041991
3,214,0.2546074455048199,6h,SI9,0.40440928695716516,-1.7137274051401867,5.2536998677570095
4,519,0.3826896580474066,6h,st,0.9121429530894785,-0.6975617220192678,4.941470392539499
5,374,0.6739699511206801,6h,SI1,0.4593625375704189,-1.4296989893328875,5.350887946552139
6,360,0.5975406059884175,6h,SI1,0.5851054017639999,-1.1742645691319444,5.268108466354167
7,322,0.6688448051153176,6h,SI5,0.7081864139793215,-1.3084675744006211,5.862589416015528
