Program,GO_ID,GO_term,Ontology,Overlap,Term_size,Input_size,Fold_enrichment,P_value,Genes,FDR_BH,minus_log10_FDR,log10_Fold_enrichment
Program1,GO:0009244,lipopolysaccharide core region biosynthetic process,BP,6,12,92,15.30978260869565,8.138215317231243e-07,N900_RS03315/N900_RS09665/N900_RS13460/N900_RS13480/N900_RS13530/N900_RS13540,4.150489811787934e-05,4.381900647865217,1.184969023976237
Program1,GO:0008713,ADP-heptose-lipopolysaccharide heptosyltransferase activity,MF,3,4,92,22.964673913043477,0.00013176738061602958,N900_RS13480/N900_RS13530/N900_RS13540,0.003360068205708754,2.473651906817804,1.361060283031918
Program1,GO:0015627,type II protein secretion system complex,CC,5,17,92,9.005754475703325,0.0001511232142056607,N900_RS00900/N900_RS00905/N900_RS00910/N900_RS00920/N900_RS00940,0.0025690946414962316,2.5902198966980405,0.9545201025979629
Program1,GO:0015628,protein secretion by the type II secretion system,BP,5,18,92,8.505434782608695,0.00020388376835502053,N900_RS00900/N900_RS00905/N900_RS00910/N900_RS00920/N900_RS00940,0.0025995180465265117,2.585107163235335,0.9296965188729308
Program1,GO:0097171,ADP-L-glycero-beta-D-manno-heptose biosynthetic process,BP,2,2,92,30.619565217391305,0.0010553820957175588,N900_RS09665/N900_RS13460,0.0107648973763191,1.9679901060272815,1.4859990196402182
Program1,GO:0045252,oxoglutarate dehydrogenase complex,CC,2,2,92,30.619565217391305,0.0010553820957175588,N900_RS03990/N900_RS03995,0.00897074781359925,2.0471713520749066,1.4859990196402182
Program1,GO:0005829,cytosol,CC,25,420,92,1.8225931677018632,0.0014119672401906988,N900_RS00610/N900_RS01200/N900_RS01290/N900_RS01400/N900_RS01455/N900_RS02135/N900_RS02225/N900_RS02675/N900_RS02885/N900_RS03135/N900_RS03315/N900_RS03905/N900_RS03990/N900_RS03995/N900_RS04675/N900_RS04815/N900_RS04860/N900_RS05440/N900_RS11385/N900_RS11915/N900_RS12145/N900_RS13480/N900_RS13530/N900_RS13540/N900_RS14025,0.010287189892817948,1.9877032433828692,0.2606897379143552
Program1,GO:0009052,"pentose-phosphate shunt, non-oxidative branch",BP,2,3,92,20.413043478260867,0.0030986618192204705,N900_RS01400/N900_RS02135,0.0197539690975305,1.704345629963105,1.3099077605845368
Program1,GO:0008854,exodeoxyribonuclease V activity,MF,2,3,92,20.413043478260867,0.0030986618192204705,N900_RS02880/N900_RS02885,0.017559083642249333,1.7554981524104865,1.3099077605845368
Program1,GO:0006396,RNA processing,BP,2,3,92,20.413043478260867,0.0030986618192204705,N900_RS02225/N900_RS11385,0.0158031752780244,1.8012556429711615,1.3099077605845368
Program1,GO:0009338,exodeoxyribonuclease V complex,CC,2,3,92,20.413043478260867,0.0030986618192204705,N900_RS02880/N900_RS02885,0.014366522980022183,1.8426483281293864,1.3099077605845368
Program1,GO:0000724,double-strand break repair via homologous recombination,BP,2,3,92,20.413043478260867,0.0030986618192204705,N900_RS02880/N900_RS02885,0.013169312731687,1.8804368890187864,1.3099077605845368
Program1,GO:0045259,proton-transporting ATP synthase complex,CC,3,10,92,9.185869565217391,0.003425106649363941,N900_RS13970/N900_RS13985/N900_RS14005,0.013436956855196998,1.8716990773120916,0.9631202743598806
Program1,GO:0016757,glycosyltransferase activity,MF,3,11,92,8.350790513833992,0.004598880044908926,N900_RS13435/N900_RS13465/N900_RS13475,0.01675306302073966,1.775905777797859,0.9217275892016555
Program1,GO:0016682,"oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor",MF,2,6,92,10.206521739130434,0.014528269327916912,N900_RS05150/N900_RS05155,0.049396115714917505,1.3063072006695051,1.0088777649205556
Program1,GO:0019646,aerobic electron transport chain,BP,2,6,92,10.206521739130434,0.014528269327916912,N900_RS05150/N900_RS05155,0.04630885848273516,1.3343359242697488,1.0088777649205556
Program1,GO:0070069,cytochrome complex,CC,2,6,92,10.206521739130434,0.014528269327916912,N900_RS05150/N900_RS05155,0.04358480798375074,1.3606648629920979,1.0088777649205556
Program1,GO:0006364,rRNA processing,BP,2,7,92,8.748447204968944,0.019910353679464584,N900_RS02225/N900_RS09410,0.05641266875848299,1.248623354278032,0.9419309752899424
Program1,GO:0006310,DNA recombination,BP,4,33,92,3.7114624505928853,0.02112412491593645,N900_RS02880/N900_RS04815/N900_RS16215/N900_RS17515,0.05670159845856625,1.2464046978628296,0.569545071090293
Program1,GO:0000287,magnesium ion binding,MF,7,89,92,2.4082804103566198,0.024561674651033347,N900_RS02455/N900_RS02885/N900_RS03145/N900_RS09665/N900_RS11385/N900_RS11670/N900_RS12145,0.06263227036013504,1.2032018452521092,0.3817070530095622
Program1,GO:0051301,cell division,BP,4,35,92,3.4993788819875773,0.025728189194207773,N900_RS04780/N900_RS05175/N900_RS05180/N900_RS05195,0.062482745185933164,1.2042398979381816,0.5439909666179048
Program1,GO:0046933,"proton-transporting ATP synthase activity, rotational mechanism",MF,2,8,92,7.654891304347826,0.02598834217611155,N900_RS13970/N900_RS13985,0.0602457023173495,1.2200739284449,0.8839390283122557
Program1,GO:0008270,zinc ion binding,MF,6,74,92,2.4826674500587544,0.03206515340042483,N900_RS03315/N900_RS03905/N900_RS04780/N900_RS09410/N900_RS09665/N900_RS09870,0.07110099232268115,1.148124337986727,0.39491855029288553
Program1,GO:0006402,mRNA catabolic process,BP,2,9,92,6.804347826086957,0.032712057060873025,N900_RS11385/N900_RS11915,0.06951312125435517,1.1579332105105096,0.8327865058648745
Program1,GO:0008408,3'-5' exonuclease activity,MF,2,9,92,6.804347826086957,0.032712057060873025,N900_RS04350/N900_RS16215,0.06673259640418097,1.1756619774709411,0.8327865058648745
Program1,GO:0006096,glycolytic process,BP,2,9,92,6.804347826086957,0.032712057060873025,N900_RS01200/N900_RS12145,0.06416595808094325,1.1926953167697216,0.8327865058648745
Program1,GO:0016740,transferase activity,MF,2,11,92,5.567193675889328,0.0479082201346039,N900_RS03020/N900_RS13535,0.09049330469869625,1.04338355162325,0.7456363301459743
Program1,GO:0009306,protein secretion,BP,2,12,92,5.103260869565217,0.056292266298795746,N900_RS00930/N900_RS11430,0.10253234218709226,0.9891391217510989,0.7078477692565744
Program1,GO:0140359,ABC-type transporter activity,MF,2,15,92,4.082608695652174,0.08410345829366386,N900_RS13425/N900_RS13430,0.14790608182678816,0.830013967656193,0.610937756248518
Program1,GO:0006633,fatty acid biosynthetic process,BP,2,15,92,4.082608695652174,0.08410345829366386,N900_RS04305/N900_RS04310,0.14297587909922854,0.8447372244768993,0.610937756248518
Program1,GO:0005975,carbohydrate metabolic process,BP,3,34,92,2.7017263427109977,0.0975081766125312,N900_RS01400/N900_RS05440/N900_RS13465,0.1604166776528739,0.7947504824602544,0.43164135731762543
Program1,GO:0043565,sequence-specific DNA binding,MF,3,35,92,2.624534161490683,0.10423755043299902,N900_RS01455/N900_RS04860/N900_RS16025,0.1661285960025922,0.779555605253545,0.4190522300096049
Program1,GO:0045892,negative regulation of DNA-templated transcription,BP,2,18,92,3.4021739130434785,0.11514884119670861,N900_RS03435/N900_RS03905,0.17795730003127694,0.7496841919912718,0.5317565102008932
Program1,GO:0006099,tricarboxylic acid cycle,BP,2,20,92,3.06195652173913,0.13721771260981386,N900_RS03990/N900_RS03995,0.2058265689147208,0.6864985654905513,0.485999019640218
Program1,GO:0019843,rRNA binding,MF,3,40,92,2.296467391304348,0.1404315097307165,N900_RS01155/N900_RS02225/N900_RS12950,0.2046287713219012,0.6890333034299809,0.3610602830319181
Program1,GO:0032993,protein-DNA complex,CC,3,44,92,2.087697628458498,0.17200030328933907,N900_RS01455/N900_RS02675/N900_RS05270,0.24366709632656366,0.6132031119666261,0.3196675978736931
Program1,GO:0045893,positive regulation of DNA-templated transcription,BP,2,25,92,2.4495652173913043,0.19563530574292376,N900_RS01455/N900_RS05270,0.2696594754834895,0.5691843145640573,0.38908900663216167
